Company Name,Client Name,Mail Id,Mobile No.,Requirement,Status,Month
A,HVHVHV,hvhv@gmail.com,9865231025,Wp,yes,august
B,KJFHVHJKH,khj@yahoo.com,8456231025,rcs,yes,august
C,JKHJGXFC,kjkh001@gmail.com,6532458952,RCS,no,august
D,KJHKGFC,khjh@gmail.co.in,3521450125,RCS,yes,august
E,JHG,jhg@yahoo.in,6547895410,SMS,no,august
F,LJKHGCF,ljkh@gmail.com,6578954123,EMAIL,yes,august
G,KBJHGF,kbj909@gmail.com,6985471230,SMS,no,august
H,KJHGF,khjgf@gmail.com,9856324710,WP,no,august
I,DFGH,dfhg@gmail.com,6652314098,RCS,no,august
J,SDGH,sdgh@gmail.com,8745632108,SMS,yes,august
K,DFGH,dgh@yahoo.co.in ,8745219630,EMAIL,no,september
L,DFGH,dgash@gmail.com,9854213025,WP,yes,september
M,ERE,mukeshab@gmail.com,7854210325,SMS,yes,september
N,ERT,ert@gmail.com,6523650123,RCS,yes,september
O,ERT,ertt21@yahoo.in,5695812305,RCS,no,september
P,ERTY,erty@gmail.com,5214785241,SMS,yes,september
Q,ERT,ert@yahoo.com,5632410235,SMS,no,september
R,ERT,ertt22@gmail.com,6589745210,WP,yes,september
S,JKE,anil@gmail.com,6589541230,SMS,no,september
